external_urls/spotify;followers/href;followers/total;genres/0;href;id;images/0/height;images/0/url;images/0/width;images/1/height;images/1/url;images/1/width;images/2/height;images/2/url;images/2/width;name;popularity;type;uri;genres/1;genres/2;genres/3;genres/4;genres/5;images/0;images/3/height;images/3/url;images/3/width;genres/6;genres/7;genres/8;genres/9;genres/10
https://open.spotify.com/artist/79D4dipwR6scV8AN3dm7gW;;63326;adult standards;https://api.spotify.com/v1/artists/79D4dipwR6scV8AN3dm7gW;79D4dipwR6scV8AN3dm7gW;640;https://i.scdn.co/image/ab6761610000e5eb28c2dea644b78257ccfb4520;640;320;https://i.scdn.co/image/ab6761610000517428c2dea644b78257ccfb4520;320;160;https://i.scdn.co/image/ab6761610000f17828c2dea644b78257ccfb4520;160;Seth MacFarlane;50;artist;spotify:artist:79D4dipwR6scV8AN3dm7gW;lounge;;;;;;;;;;;;;
https://open.spotify.com/artist/0HtEZODdzPzZhdehDcF3fX;;32823;neo classical metal;https://api.spotify.com/v1/artists/0HtEZODdzPzZhdehDcF3fX;0HtEZODdzPzZhdehDcF3fX;640;https://i.scdn.co/image/ab67616d0000b2730eb6ebac50df4cb479ad37f1;640;300;https://i.scdn.co/image/ab67616d00001e020eb6ebac50df4cb479ad37f1;300;64;https://i.scdn.co/image/ab67616d000048510eb6ebac50df4cb479ad37f1;64;Freak Kitchen;38;artist;spotify:artist:0HtEZODdzPzZhdehDcF3fX;progressive metal;swedish progressive metal;;;;;;;;;;;;
https://open.spotify.com/artist/22upwnTo7nckdSAMI8CrZa;;25573;avant-garde metal;https://api.spotify.com/v1/artists/22upwnTo7nckdSAMI8CrZa;22upwnTo7nckdSAMI8CrZa;640;https://i.scdn.co/image/ab6761610000e5eb5671fbf26e94a7da67ab43d7;640;320;https://i.scdn.co/image/ab676161000051745671fbf26e94a7da67ab43d7;320;160;https://i.scdn.co/image/ab6761610000f1785671fbf26e94a7da67ab43d7;160;Mattias IA Eklundh;33;artist;spotify:artist:22upwnTo7nckdSAMI8CrZa;instrumental rock;neo classical metal;shred;;;;;;;;;;;
https://open.spotify.com/artist/0hLd40hVpRDGENe4KGZLnW;;385769;austropop;https://api.spotify.com/v1/artists/0hLd40hVpRDGENe4KGZLnW;0hLd40hVpRDGENe4KGZLnW;640;https://i.scdn.co/image/ab6761610000e5eb381a2c6fa34d595b1ed02869;640;320;https://i.scdn.co/image/ab67616100005174381a2c6fa34d595b1ed02869;320;160;https://i.scdn.co/image/ab6761610000f178381a2c6fa34d595b1ed02869;160;Falco;63;artist;spotify:artist:0hLd40hVpRDGENe4KGZLnW;german pop;neue deutsche welle;new romantic;;;;;;;;;;;
https://open.spotify.com/artist/3zXw2Eh96iTT51pytzHdZi;;944916;album rock;https://api.spotify.com/v1/artists/3zXw2Eh96iTT51pytzHdZi;3zXw2Eh96iTT51pytzHdZi;1000;https://i.scdn.co/image/30a387423ed24633753a0c72bf5d57809c8cba9d;1000;640;https://i.scdn.co/image/30b95555f6ada5b6ad259d865e5bbf791534999b;640;200;https://i.scdn.co/image/bed18f3c8d0284f2ae6d46754f35379aa4504cf6;200;38 Special;63;artist;spotify:artist:3zXw2Eh96iTT51pytzHdZi;classic rock;country rock;folk rock;hard rock;mellow gold;;64;https://i.scdn.co/image/705f508158d44f4daf2f9ca0da183161e4546f45;64;rock;soft rock;southern rock;;
https://open.spotify.com/artist/4BkdqpIEhl0tKZ5xpAo5pR;;43617;medieval folk;https://api.spotify.com/v1/artists/4BkdqpIEhl0tKZ5xpAo5pR;4BkdqpIEhl0tKZ5xpAo5pR;640;https://i.scdn.co/image/ab6761610000e5eb5a5db815f64d6a46c118639f;640;320;https://i.scdn.co/image/ab676161000051745a5db815f64d6a46c118639f;320;160;https://i.scdn.co/image/ab6761610000f1785a5db815f64d6a46c118639f;160;Sowulo;44;artist;spotify:artist:4BkdqpIEhl0tKZ5xpAo5pR;rune folk;viking folk;;;;;;;;;;;;
https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp;;4452970;mellow gold;https://api.spotify.com/v1/artists/4lxfqrEsLX6N1N4OCSkILp;4lxfqrEsLX6N1N4OCSkILp;1333;https://i.scdn.co/image/31fbe64783eb5d493161640bd599dceafc615c6d;1000;853;https://i.scdn.co/image/f5b1b588936c53348efe5526caf65852a0bd1d36;640;267;https://i.scdn.co/image/ccd188b7082ce425d61640c11ea715d23dbce92a;200;Phil Collins;80;artist;spotify:artist:4lxfqrEsLX6N1N4OCSkILp;rock drums;soft rock;;;;;85;https://i.scdn.co/image/7900732380c7303c222bc98f68e1b9fba3922439;64;;;;;
https://open.spotify.com/artist/1DO3ytbfXlJUOoy77yH7IH;;65307;dungeon synth;https://api.spotify.com/v1/artists/1DO3ytbfXlJUOoy77yH7IH;1DO3ytbfXlJUOoy77yH7IH;640;https://i.scdn.co/image/ab6761610000e5ebfeaa967bbd9e458f1d29bb19;640;320;https://i.scdn.co/image/ab67616100005174feaa967bbd9e458f1d29bb19;320;160;https://i.scdn.co/image/ab6761610000f178feaa967bbd9e458f1d29bb19;160;Forndom;48;artist;spotify:artist:1DO3ytbfXlJUOoy77yH7IH;medieval folk;rune folk;viking folk;;;;;;;;;;;
https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF;;4378701;melodic metalcore;https://api.spotify.com/v1/artists/1Ffb6ejR6Fe5IamqA5oRUF;1Ffb6ejR6Fe5IamqA5oRUF;640;https://i.scdn.co/image/ab6761610000e5eb07603145b500ea5408074053;640;320;https://i.scdn.co/image/ab6761610000517407603145b500ea5408074053;320;160;https://i.scdn.co/image/ab6761610000f17807603145b500ea5408074053;160;Bring Me The Horizon;82;artist;spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF;metalcore;rock;uk metalcore;;;;;;;;;;;
https://open.spotify.com/artist/1ZyqnbV7Brg5LgyS4EZCUD;;293232;partyschlager;https://api.spotify.com/v1/artists/1ZyqnbV7Brg5LgyS4EZCUD;1ZyqnbV7Brg5LgyS4EZCUD;640;https://i.scdn.co/image/ab6761610000e5eba67c450f15f60e94c33a7200;640;320;https://i.scdn.co/image/ab67616100005174a67c450f15f60e94c33a7200;320;160;https://i.scdn.co/image/ab6761610000f178a67c450f15f60e94c33a7200;160;FiNCH;70;artist;spotify:artist:1ZyqnbV7Brg5LgyS4EZCUD;tekk;;;;;;;;;;;;;
